GEO_ID,TotPop,walkability
1400000US18097331000,1375,10
1400000US18097356400,717,17.33333333
1400000US18097340108,1937,14.5
1400000US18097340300,1739,15.16666667
1400000US18097340300,779,11.66666667
1400000US18097340108,438,12.66666667
1400000US18097340300,2486,10.5
1400000US18097356200,2897,13.5
1400000US18097340400,1008,16.5
1400000US18097340400,1498,12
1400000US18097340500,1250,12.5
1400000US18097340600,1777,11.33333333
1400000US18097340600,661,13.83333333
1400000US18097340700,715,15
1400000US18097340902,1091,11.33333333
1400000US18097330109,1571,7.333333333
1400000US18097310204,2474,7.5
1400000US18097380402,2074,10.16666667
1400000US18097380600,2058,15.5
1400000US18097381001,1241,14.5
1400000US18097381001,1634,11.33333333
1400000US18097381201,1427,7.666666667
1400000US18097381204,779,13.33333333
1400000US18097381205,3337,5.333333333
1400000US18097390101,2438,6
1400000US18097610201,896,8.5
